Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
SP1,25/08/17,Betis,Celta,2,1,H,1,1,D,10,9,3,2,13,9,4,6,2,2,0,0,2.2,3.4,3.4,2.25,3.3,3.3,2.4,3.3,2.95,2.2,3.25,3.1,2.28,3.56,3.32,2.2,3.25,3.3,2.3,3.5,3.25,33,2.4,2.25,3.56,3.37,3.4,3.25,32,2.05,1.97,1.93,1.85,16,-0.25,2.05,1.96,1.96,1.93,2.32,3.44,3.35
SP1,25/08/17,Sociedad,Villarreal,3,0,H,3,0,H,15,6,9,1,12,22,10,4,2,2,0,0,2.05,3.4,3.75,2.1,3.3,3.7,2.2,3.35,3.3,2.05,3.2,3.5,2.11,3.46,3.87,2.1,3.3,3.6,2.15,3.4,3.75,33,2.2,2.09,3.46,3.37,3.87,3.67,33,2.13,2.07,1.84,1.76,16,-0.25,1.83,1.8,2.14,2.1,2.04,3.59,3.98
SP1,26/08/17,Alaves,Barcelona,0,2,A,0,0,D,11,23,2,11,12,10,1,14,2,3,0,0,10,5.75,1.29,10,5.5,1.3,8,5.5,1.33,10,5.25,1.3,10.55,5.8,1.33,11,5,1.3,11.5,5.75,1.3,34,12,10.19,6,5.56,1.34,1.3,31,1.63,1.57,2.45,2.38,14,1.5,2.05,2,1.92,1.89,10.13,5.83,1.33
SP1,26/08/17,Girona,Malaga,1,0,H,1,0,H,15,7,4,2,11,15,2,3,3,4,0,0,2.15,3.25,3.6,2.15,3.2,3.7,2.2,3.35,3.3,2.15,3.2,3.6,2.19,3.37,3.75,2.2,3.3,3.3,2.15,3.3,3.75,33,2.23,2.16,3.39,3.25,3.75,3.59,32,2.3,2.2,1.72,1.67,14,-0.25,1.88,1.85,2.08,2.03,2.01,3.42,4.33
SP1,26/08/17,Las Palmas,Ath Madrid,1,5,A,0,2,A,10,8,4,6,10,9,4,2,4,1,0,0,4.75,3.75,1.75,4.75,3.7,1.75,4.8,3.6,1.75,4.8,3.5,1.75,5.14,3.73,1.79,4.5,3.6,1.8,4.8,3.75,1.8,34,5.14,4.76,3.8,3.65,1.84,1.77,33,2.2,2.09,1.8,1.74,14,0.75,1.89,1.86,2.08,2.02,5.31,3.75,1.77
SP1,26/08/17,Levante,La Coruna,2,2,D,1,2,A,24,11,5,4,11,12,6,5,0,2,1,0,2.2,3.1,3.6,2.2,3.25,3.5,2.2,3.35,3.3,2.2,3.1,3.5,2.23,3.31,3.71,2.25,3.2,3.3,2.2,3.25,3.7,33,2.26,2.2,3.35,3.2,3.75,3.53,32,2.46,2.31,1.66,1.61,14,-0.25,1.93,1.89,2.04,1.99,2.19,3.4,3.71
SP1,27/08/17,Eibar,Ath Bilbao,0,1,A,0,1,A,14,10,5,4,14,11,4,3,1,1,1,0,2.5,3.1,3.1,2.5,3.2,2.95,2.7,3.3,2.6,2.55,3.1,2.87,2.57,3.26,3.08,2.62,3.1,2.8,2.55,3.2,2.9,34,2.7,2.55,3.3,3.18,3.1,2.9,34,2.32,2.2,1.72,1.67,14,-0.25,2.2,2.17,1.78,1.74,2.52,3.21,3.2
SP1,27/08/17,Espanol,Leganes,0,1,A,0,1,A,17,12,2,8,10,14,9,1,3,3,0,0,1.95,3.25,4.33,1.91,3.25,4.6,2,3.4,3.8,1.95,3.1,4.2,2,3.37,4.49,1.95,3.1,4.5,1.93,3.3,4.4,34,2.03,1.96,3.4,3.25,4.6,4.33,32,2.63,2.49,1.58,1.53,14,-0.5,2,1.96,1.97,1.93,2.05,3.24,4.47
SP1,27/08/17,Getafe,Sevilla,0,1,A,0,0,D,15,6,3,3,20,10,7,5,0,1,0,0,3.6,3.3,2.15,3.6,3.4,2.1,3.3,3.35,2.2,3.4,3.4,2.1,3.61,3.58,2.16,3.4,3.4,2.1,3.4,3.5,2.15,33,3.62,3.47,3.59,3.42,2.2,2.13,32,1.95,1.87,2.04,1.93,14,0.25,2.06,2.03,1.9,1.86,3.58,3.5,2.2
SP1,27/08/17,Real Madrid,Valencia,2,2,D,1,1,D,22,7,6,3,12,12,13,4,3,5,0,0,1.17,8,15,1.15,8.25,16,1.17,7.5,15,1.18,7.5,15,1.16,10,17,1.17,8,13,1.18,8,13,34,1.2,1.17,10,8.29,17,14.23,27,1.26,1.22,4.6,4.2,14,-2.25,2.06,2.02,1.9,1.87,1.15,10.55,17.7
SP1,08/09/17,Leganes,Getafe,1,2,A,0,1,A,11,11,7,3,14,20,2,4,1,2,0,0,2.05,3.25,4,2.05,3.2,4,2,3.4,3.8,2.05,3.1,3.9,2.11,3.28,4.15,2.1,3.1,3.8,2.05,3.3,4,34,2.14,2.07,3.4,3.2,4.17,3.95,30,2.5,2.41,1.59,1.56,15,-0.5,2.14,2.09,1.84,1.81,2.13,3.22,4.17
SP1,09/09/17,Barcelona,Espanol,5,0,H,2,0,H,20,9,9,1,11,18,8,7,1,5,0,0,1.17,8,17,1.17,7.25,18,1.17,7.5,15,1.17,7.5,19,1.18,8.79,17.82,1.17,7.5,15,1.17,8,19,34,1.18,1.17,8.82,7.74,19,16.05,25,1.38,1.34,3.4,3.19,14,-2,1.83,1.78,2.17,2.11,1.13,10.4,23.13
SP1,09/09/17,Real Madrid,Levante,1,1,D,1,1,D,18,5,10,2,9,16,13,3,2,3,1,0,1.05,15,34,1.07,12,31,1.1,9,27,1.08,12,34,1.08,15,36.5,1.06,13,23,1.06,15,36,34,1.1,1.07,16.67,12.92,41,29.97,25,1.2,1.17,5.25,4.86,15,-3,2.07,2.01,1.9,1.86,1.11,12.6,23.75
SP1,09/09/17,Sevilla,Eibar,3,0,H,0,0,D,12,7,6,2,14,18,6,5,1,1,0,0,1.57,4,6,1.57,4,6,1.6,3.9,5.7,1.6,4,5.25,1.61,4.27,6.08,1.6,4,5.5,1.6,4.2,5.75,34,1.64,1.6,4.27,4.06,6.08,5.64,32,1.74,1.69,2.28,2.16,14,-1,2.08,2.04,1.88,1.85,1.57,4.46,6.28
SP1,09/09/17,Valencia,Ath Madrid,0,0,D,0,0,D,11,13,0,4,16,14,4,3,1,0,0,0,3.6,3.2,2.2,3.4,3.4,2.15,3.3,3.35,2.2,3.4,3.2,2.2,3.56,3.38,2.26,3.5,3.25,2.15,3.5,3.5,2.2,33,3.6,3.45,3.5,3.29,2.26,2.19,32,2.19,2.11,1.77,1.73,15,0.25,2.03,1.99,1.93,1.89,3.21,3.23,2.5
SP1,10/09/17,Ath Bilbao,Girona,2,0,H,1,0,H,7,11,4,7,19,18,6,4,4,6,0,0,1.67,3.75,5.5,1.67,3.8,5.25,1.75,3.6,4.8,1.67,3.7,5.25,1.68,3.99,5.63,1.67,3.8,5,1.7,3.9,5.4,34,1.75,1.68,4.09,3.81,5.63,5.18,33,2,1.95,1.93,1.86,14,-0.75,1.92,1.88,2.03,1.99,1.61,4.04,6.67
SP1,10/09/17,Celta,Alaves,1,0,H,1,0,H,20,5,3,3,17,17,9,4,4,4,0,0,1.67,3.75,5.25,1.75,3.6,5,1.8,3.6,4.5,1.73,3.6,5,1.74,3.84,5.4,1.75,3.5,5,1.73,3.75,4.8,34,1.8,1.74,3.84,3.65,5.4,4.94,33,2.06,2,1.88,1.81,14,-0.75,1.99,1.95,1.95,1.92,1.68,3.91,5.87
SP1,10/09/17,La Coruna,Sociedad,2,4,A,1,2,A,11,15,4,4,18,14,5,7,1,3,0,0,2.75,3.3,2.6,2.75,3.3,2.6,2.7,3.3,2.6,2.7,3.25,2.55,2.85,3.46,2.63,2.8,3.3,2.5,2.8,3.4,2.63,34,2.85,2.76,3.47,3.33,2.65,2.58,33,2.04,1.96,1.92,1.86,15,0,2.03,1.99,1.91,1.88,3.12,3.55,2.39
SP1,10/09/17,Villarreal,Betis,3,1,H,1,1,D,14,8,7,3,9,9,4,3,3,0,0,0,1.85,3.6,4.33,1.87,3.5,4.4,1.8,3.6,4.5,1.85,3.4,4.25,1.9,3.62,4.62,1.91,3.4,4.2,1.85,3.6,4.3,34,1.92,1.88,3.69,3.51,4.62,4.33,33,2.12,2.02,1.85,1.8,14,-0.5,1.92,1.88,2.04,2.01,1.97,3.62,4.25
SP1,11/09/17,Malaga,Las Palmas,1,3,,,,,,,,,,,,,,,,,2,3.5,3.8,2,3.5,3.8,1.9,3.5,4.1,2,3.4,3.6,2.06,3.67,3.83,2,3.5,3.6,2,3.6,3.6,32,2.08,2,3.67,3.52,4.1,3.7,31,1.95,1.88,2,1.93,12,-0.5,2.07,2.04,1.87,1.86,,,
